Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U2,ESP-12F,ESP-12E_2,16.500000,-4.500000,180.000000,bottom
C1,10uF,CP_EIA-3216-18_Kemet-A,12.000000,-7.800000,270.000000,top
C2,10uF,CP_EIA-3216-18_Kemet-A,21.000000,-7.800000,270.000000,top
Q1,L2N7002DW1T1G,SOT-363_SC-70-6,16.500000,-15.400000,0.000000,top
Q2,L2N7002DW1T1G,SOT-363_SC-70-6,16.450000,-4.600000,0.000000,top
R1,10K,R_0402_1005Metric,15.700000,-2.450000,0.000000,top
R2,10K,R_0402_1005Metric,18.900000,-14.200000,270.000000,top
R3,10K,R_0402_1005Metric,20.000000,-4.600000,180.000000,top
R5,10K,R_0402_1005Metric,8.150000,-14.000000,270.000000,top
RN1,10K,R_Array_Convex_4x0402,12.500000,-2.000000,90.000000,top
SW1,FLASH,TS-1088C,11.700000,-14.000000,90.000000,top
U1,H7650-33PR,SOT-89-3,16.500000,-9.750000,270.000000,top
